1,2,3,4,5,6,7
JT25_RS10875_SF,17.6325,9.7,12.91,9.686,10.705,14.252
JT25_RS12760_SF,193.0575,178.254,255.474,103.686,66.2225,48.538
JT25_RS13005_SF,347.38,268.278,223.89,243.068,157.6725,373.146
JT25_RS18750_SF,222.6225,412.832,471.798,294.328,349.09,3457.908
JT25_RS19490_SF,283.955,445.95,703.544,645.916,852.945,2460.174
JT25_RS00065,19.095,30.388,36.48,37.22,68.53,57.776
JT25_RS00070,202.1725,353.768,662.632,728.676,534.905,378.488
JT25_RS00075,27.25,38.046,44.584,41.034,46.87,27.806
JT25_RS00080,248.4875,231.162,166.256,125.53,75.52,48.042
JT25_RS00085,79.3075,87.528,84.186,87.162,83.64,34.166
JT25_RS00090,53.7375,42.978,56.622,47.164,46.435,97.728
JT25_RS00095,162.3225,164.534,148.54,129.676,63.655,41.404
JT25_RS00100,94.345,71.914,85.298,65.748,34.0475,41.658
JT25_RS00105,107.4975,91.96,120.596,96.434,60.24,98.318
JT25_RS00110,84.8425,70.876,73.152,68.128,43.2825,48.186
JT25_RS00115,57.865,43.148,43.474,32.76,23.9825,28.306
JT25_RS00120,39.7625,50.366,29.28,31.172,21.715,42.908
JT25_RS00125,56.505,66.08,47.056,47.782,22.88,66.788
JT25_RS00130,45.73,45.552,38.418,33.6,28.565,146.884
JT25_RS00135,16.96,17.646,40.052,33.484,48.94,25.072
JT25_RS00140,30.89,17.44,12.996,8.266,24.9525,10.246
JT25_RS00145,73.9,52.874,51.388,32.174,23.1475,38.764
JT25_RS00150,138.705,103.416,104.942,63.494,43.5025,86.678
JT25_RS00155,95.6625,90.472,76.402,75.688,78.98,59.6
JT25_RS00160,95.9575,81.22,66.87,69.674,57.535,64.136
JT25_RS00165,13.13,16.37,17.3,11.89,19.115,5.128
JT25_RS00170,26.465,25.068,36.616,30.072,40.6275,52.45
JT25_RS00175,18.4,16.728,21.32,18.488,22.4775,17.016
JT25_RS00180,23.035,23.334,21.296,21.896,28.2025,25.022
JT25_RS00185,5.545,5.03,6.152,8.05,214.71,10.638
JT25_RS00195,2.19,1.928,1.25,1.574,6.7225,0.998
JT25_RS00200,2.3925,2.4,3.094,3.028,11.4875,0.586
JT25_RS03700,19.5225,14.312,16.18,12.654,125.975,4.38
JT25_RS03705,26.7625,22.834,24.48,16.074,17.5925,11.06
JT25_RS03710,36.3025,31.45,32.526,26.876,24.785,21.058
JT25_RS03715,25.0175,26.482,23.896,19.484,20.5925,15.646
JT25_RS03720,27.265,21.344,21.304,15.078,43.445,6.092
JT25_RS03725,6.57,5.062,5.13,3.988,11.7675,2.162
JT25_RS03730,3.005,1.826,2.092,1.748,3.58,1.104
JT25_RS03740,26.5675,31.12,52.38,62.736,72.04,121.846
JT25_RS03745,30.4025,62.988,109.274,148.994,194.21,902.244
JT25_RS03750,283.1175,406.116,410.52,344.022,214.195,199.98
JT25_RS03755,188.31,272.162,224.124,233.112,110.25,79.756
JT25_RS03760,190.095,286.592,229.208,227.524,118.1275,111.49
JT25_RS03765,91.4975,112.376,88.158,92.464,56.615,44.568
JT25_RS03770,45.0675,52.948,61.67,58.868,47.7625,33.356
JT25_RS03775,55.23,72.76,78.412,93.512,68.515,74.808
JT25_RS03780,35.1975,58.554,61.852,65.118,63.825,42.702
JT25_RS03785,36.29,43.16,49.228,49.7,57.4425,34.374
JT25_RS03790,27.135,39.18,36.836,25.326,31.145,27.302
JT25_RS03800,18.9975,20.492,24.888,22.826,45.775,22.972
JT25_RS03805,84.9825,125.106,146.274,188.946,196.725,130.072
JT25_RS03810,87.3125,108.062,94.228,155.252,129.615,78.606
JT25_RS03815,49.4775,55.422,71.4,65.706,76.4875,181.354
JT25_RS03825,150.755,392.868,605.606,868.558,888.8,549.918
JT25_RS03830,10.8475,8.258,11.37,9.002,12.76,8.658
JT25_RS03835,23.345,17.732,24.552,18.744,28.735,27.604
JT25_RS03845,16.52,11.682,17.11,11.842,34.3075,7.118
JT25_RS03850,7.855,8.33,10.742,8.29,21.4625,8.078
JT25_RS03855,10.455,9.632,11.83,8.07,30.4325,12.616
JT25_RS03860,13.9425,13.26,15.346,14.914,22.2625,10.144
JT25_RS03865,4.395,5.406,5.78,5.22,37.7875,4.752
JT25_RS03870,3.7275,2.922,4.95,4.976,15.955,7.688
JT25_RS03875,6.405,10.924,8.428,10.882,39.0425,21.318
JT25_RS03880,17.9325,21.242,23.098,26.784,32.0225,55.932
JT25_RS03885,47.98,57.316,86.476,50.996,88.56,155.29
JT25_RS03890,108.1,136.414,129.144,127.084,82.78,57.088
JT25_RS03895,174.7125,176.798,154.884,138.606,84.4375,86.4
JT25_RS03900,150.2925,161.408,134.41,120.794,72.1275,47.59
JT25_RS03905,178.9575,186.74,127.108,118.046,82.6775,130.014
JT25_RS03910,181.95,205.146,151.494,132.554,141.4075,100.23
JT25_RS03915,118.815,125.562,117.524,113.668,91.6225,497.782
JT25_RS03925,19.035,14.584,16.752,13.488,9.485,10.558
JT25_RS03930,17.56,16.37,15.524,12.474,22.335,13.342
JT25_RS03935,52.765,54.15,41.096,55.946,31.465,39.142
JT25_RS03940,752.62,1121.924,1572.728,1751.622,1522.9175,817.826
JT25_RS08450,20.56,26.618,27.962,25.476,25.8075,37.508
JT25_RS08455,73.7375,70.536,67.268,63.27,40.98,28.918
JT25_RS08460,81.3175,81.628,121.734,96.524,87.2175,50.68
JT25_RS08470,27.57,29.26,39.728,35.734,31.7825,166.704
JT25_RS08475,32.4825,33.214,26.102,28.658,26.7775,15.222
JT25_RS08480,30.8525,24.606,36.582,24.236,22.9725,35.032
JT25_RS08485,38.67,54.412,41.782,55.564,30.765,81.066
JT25_RS08490,36.7975,39.41,37.692,40.988,26.425,57.342
JT25_RS08495,59.14,71.486,71.936,69.854,40.4025,47.874
JT25_RS08500,82.0175,57.978,43.532,42.206,31.47,38.126
JT25_RS08505,96.915,67.602,42.914,47.48,72.7625,53.11
JT25_RS08510,76.3925,59.86,43.738,36.91,26.095,86.352
JT25_RS08515,221.1025,161.876,83.128,76.528,48.5375,376.532
JT25_RS08520,1278.445,813.824,431.706,366.976,349.2675,175.556
JT25_RS08525,87.79,84.112,69.824,52.738,55.4525,38.582
JT25_RS08530,43.4575,32.78,32.408,29.014,30.705,37.92
JT25_RS08535,4.5325,4.39,6.376,6.014,13.8775,5.644
JT25_RS08540,1.0225,0.176,1.094,0.128,5.63,0.352
JT25_RS08545,79.01,111.042,150.16,89.826,87.4,109.896
JT25_RS08550,191.045,198.448,211.738,199.054,122.725,96.678
JT25_RS08560,23.6675,18.486,18.848,14.182,43.535,8.6
JT25_RS08570,86.2475,88.848,82.104,65.606,41.3525,53.908
JT25_RS08575,37.8125,36.692,36.588,30.624,32.425,30.056
JT25_RS08580,26.4775,21.428,21.272,17.596,19.27,16.84
JT25_RS08585,13.17,7.204,7.526,6.336,4.805,3.498
JT25_RS08590,19.635,9.746,14.026,7.652,13.095,6.482
JT25_RS08595,21.6775,14.024,16.79,9.208,11.3475,7.806
JT25_RS08600,26.975,21.698,27.912,17.066,11.1425,15.722
JT25_RS08605,870.0975,1034.73,791.776,652.022,602.4775,1143.76
JT25_RS08610,412.0775,602.434,845.858,552.628,860.71,1886.694
JT25_RS08615,48.8375,52.18,52.216,45.556,50.7525,33.022
JT25_RS08620,82.4725,56.04,56.482,34.954,50.3875,47.016
JT25_RS08625,181.35,171.598,186.832,127.368,118.2375,114.946
JT25_RS08630,144.2025,117.426,106.238,88.88,87.31,86.024
JT25_RS08635,64.845,39.506,39.236,28.88,22.1125,19.396
JT25_RS08640,75.525,82.336,75.924,53.152,41.8375,33.776
JT25_RS08645,71.49,67.35,64.018,35.726,31.625,25.856
JT25_RS08650,113.7425,103.818,111.272,52.042,38.2025,38.696
JT25_RS08655,524.7625,664.312,847.176,272.728,190.0675,67.962
JT25_RS08665,230.7925,306.816,427.562,126.966,89.2725,61.73
JT25_RS08670,227.575,296.726,401.358,121.776,116.9625,59.646
JT25_RS08675,264.8875,390.26,731.44,194.16,4751.825,146.418
JT25_RS08680,113.365,156.758,269.588,65.268,82.8675,92.622
JT25_RS08685,43.955,25.424,33.22,22.744,125.12,15.696
JT25_RS08690,72.385,59.3,57.808,44.41,35.3175,26.402
JT25_RS08695,133.075,100.234,93.596,79.096,58.085,61.906
JT25_RS08700,182.5475,180.292,139.642,147.362,116.94,115.122
JT25_RS08705,91.0675,92.646,86.502,80.4,78.7175,77.344
JT25_RS08710,30.0375,32.752,40.368,39.988,47.155,58.378
JT25_RS08715,255.8475,785.366,1360.424,2338.906,2776.96,5819.902
JT25_RS08720,28.1625,26.072,29.168,28.052,30.07,14.794
JT25_RS08725,57.1375,43.622,65.76,41.008,71.155,51.83
JT25_RS08730,83.265,74.252,89.384,72.138,73.5025,47.154
JT25_RS08735,17013.0475,37745.15,45057.154,53009.078,42391.615,48746.714
JT25_RS08740,135.7725,94.854,93.106,105.928,50.2225,145.598
JT25_RS08745,453.5125,400.718,528.182,325.716,323.6175,231.074
JT25_RS08750,165.5175,170.48,133.73,144.798,98.0925,112.812
JT25_RS08755,47.4325,88.974,95.632,111.696,111.12,235.02
JT25_RS08760,280.92,316.384,331.546,331.646,287.89,355.282
JT25_RS08765,55.36,44.268,42.598,35.172,37.79,45.644
JT25_RS08770,198.4775,129.194,132.228,110.426,116.4575,79.266
JT25_RS08775,60.85,55.832,64.532,36.004,36.785,15.75
JT25_RS08780,77.015,86.316,74.49,62.472,46.68,42.046
JT25_RS08785,292.4925,337.776,353.536,302.42,283.2925,470.35
JT25_RS08790,162.2275,151.034,157.102,145.06,130.735,121.258
JT25_RS08795,39.685,53.652,49.114,54.756,44.13,53.708
JT25_RS08800,34.92,25.006,26.274,20.036,37.3925,12.772
JT25_RS08805,67.0875,85.922,101.036,94.396,125.335,119.738
JT25_RS08810,20.605,17.392,22.618,12.206,13.515,5.762
JT25_RS08815,19.9925,15.28,24.832,13.928,18.6175,7.064
JT25_RS08820,44.02,35.168,40.014,27.036,60.7375,26.872
JT25_RS08825,48.0825,37.182,63.988,44.766,54.935,37.964
JT25_RS08830,225.8475,122.572,168.708,104.194,132.24,80.758
JT25_RS08835,290.515,175.048,216.148,130.472,147.3825,64.896
JT25_RS08840,181.47,133.248,153.492,123.498,142.1525,158.66
JT25_RS08845,439.9475,367.896,441.524,401.708,204.13,290.17
JT25_RS08850,158.3475,198.15,200.056,160.52,142.16,118.358
JT25_RS08855,102.3975,93.78,134.926,116.546,160.0025,125.326
JT25_RS08860,11.595,6.516,9.412,6.092,24.3225,5.06
JT25_RS08865,11.175,9.32,13.81,9.914,54.0275,20.928
JT25_RS08870,16.7,20.288,18.57,16.664,38.66,29.81
JT25_RS08875,19.925,25.636,28.964,22.576,30.5125,34.96
JT25_RS08880,13.6325,9.142,15.74,13.728,28.1675,14.622
JT25_RS08885,26.0575,30.424,25.166,23.242,23.8325,18.012
JT25_RS08890,52.99,56.422,86.364,74.16,96.695,213.668
JT25_RS08905,5.975,4.878,5.15,3.792,25.905,2.568
JT25_RS08910,7.7125,7.5,7.21,4.374,5.065,3.408
JT25_RS08915,11.845,9.562,8.89,7.146,23.185,2.476
JT25_RS08920,18.4125,16.758,19.446,16.408,21.2275,20.286
JT25_RS08925,15.945,8.816,12.128,9.268,10.5425,10.23
JT25_RS08930,17.3825,16.708,16.94,16.666,14.265,14.866
JT25_RS08945,10.82,9.142,13.484,10.872,12.1125,17.666
JT25_RS14560,76.3975,74.396,87.456,73.446,93.3525,17.066
JT25_RS14565,63.2475,67.354,59.414,43.848,71.97,21.306
JT25_RS14570,37.71,43.588,45.18,30.51,24.915,14.768
JT25_RS14575,5.5375,8.09,10.472,20.536,17.7825,16.724
JT25_RS14580,68.4725,61.91,88.578,69.26,46.995,49.182
JT25_RS14585,29.07,26.428,26.084,16.256,20.3925,16.618
JT25_RS14590,43.0675,26.39,24.048,13.884,26.4275,11.67
JT25_RS14595,57.5075,52.402,47.396,29.766,47.89,17.142
JT25_RS14600,69.68,69.634,61.692,51.998,58.6575,52.996
JT25_RS14605,267.73,237.152,339.416,243.28,180.2025,274.762
JT25_RS14610,301.8225,271.176,308.234,224.402,163.4125,180.53
JT25_RS14615,450.3775,426.366,516.942,385.038,293.415,185.702
JT25_RS14625,607.9625,512.74,555.638,506.562,259.4975,402.396
JT25_RS14630,1846.865,1346.92,1147.78,1005.214,433.56,787.292
JT25_RS14635,265.58,170.244,196.406,175.37,63.665,149.802
JT25_RS14655,1400.985,1259.54,1218.842,1298.106,780.0725,1225.92
JT25_RS14665,1722.75,1880.904,1163.524,1722.124,655.175,693.194
JT25_RS14670,996.4,883.386,772.916,946.25,414.3975,471.11
JT25_RS14675,683.8625,372.214,442.092,270.236,169.185,147.714
JT25_RS14680,721.44,444.836,444.308,396.068,198.895,206.612
JT25_RS14685,1491.485,503.506,428.408,371.98,196.1525,284.898
JT25_RS14690,1466.9225,740.448,607.77,524.39,279.865,177.142
JT25_RS14695,417.3575,234.994,162.988,132.7,53.9775,73.758
JT25_RS14700,598.3425,262.292,217.548,148.504,78.475,71.768
JT25_RS14705,1100.8025,816.604,756.886,671.022,404.8475,460.708
JT25_RS14710,1021.6525,848.206,900.304,899.552,517.045,642.836
JT25_RS14715,1493.0275,1009.988,1127.372,904.868,589.05,643.826
JT25_RS14720,1190.19,1062.46,994.8,1035.698,620.9875,1034.226
JT25_RS14725,6714.325,4661.338,3335.3,3739.71,1696.3425,1472.196
JT25_RS14730,1901.8425,970.848,923.112,764.36,466.825,414.548
JT25_RS14735,714.675,562.988,418.592,455.068,243.87,237.28
JT25_RS14740,944.94,918.214,537.766,643.41,308.2625,283.286
JT25_RS14745,1535.67,936.87,823.252,715.952,449.6725,279.156
JT25_RS14750,1123.36,805.768,761.814,555.462,324.885,247.804
JT25_RS14755,925.265,647.972,567.72,452.88,301.6075,188.45
JT25_RS14760,2182.1975,1549.55,1685.896,1495.356,1265.21,743.65
